root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:56.613842 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3964021783:3964021891, ack 643401746, win 313, length 108
20:25:56.727963 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58012:58176, ack 1, win 313, length 164
20:25:56.728039 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58176:58340, ack 1, win 313, length 164
20:25:56.728116 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58340:58504, ack 1, win 313, length 164
20:25:56.728218 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58504:58668, ack 1, win 313, length 164
20:25:56.728323 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58668:58832, ack 1, win 313, length 164
20:25:56.728430 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 34336, win 2051, length 0
20:25:56.728559 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58832:59108, ack 1, win 313, length 276
20:25:56.728635 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 34992, win 2049, length 0
20:25:56.728718 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59108:59384, ack 1, win 313, length 276
20:25:56.728815 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59384:59548, ack 1, win 313, length 164
20:25:56.728900 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59548:59712, ack 1, win 313, length 164
20:25:56.728976 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59712:59876, ack 1, win 313, length 164
20:25:56.729052 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59876:60040, ack 1, win 313, length 164
20:25:56.729168 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60040:60204, ack 1, win 313, length 164
20:25:56.729279 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60204:60368, ack 1, win 313, length 164
20:25:56.729412 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60368:60532, ack 1, win 313, length 164
20:25:56.729499 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60532:60696, ack 1, win 313, length 164
20:25:56.729611 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60696:60860, ack 1, win 313, length 164
20:25:56.729708 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60860:61024, ack 1, win 313, length 164
20:25:56.729798 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61024:61188, ack 1, win 313, length 164
20:25:56.729884 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61188:61352, ack 1, win 313, length 164
20:25:56.729979 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61352:61516, ack 1, win 313, length 164
20:25:56.730061 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61516:61680, ack 1, win 313, length 164
20:25:56.730142 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61680:61844, ack 1, win 313, length 164
20:25:56.730242 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61844:62008, ack 1, win 313, length 164
20:25:56.730323 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62008:62172, ack 1, win 313, length 164
20:25:56.730416 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62172:62336, ack 1, win 313, length 164
20:25:56.730498 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62336:62500, ack 1, win 313, length 164
20:25:56.730590 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62500:62664, ack 1, win 313, length 164
20:25:56.730670 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62664:62828, ack 1, win 313, length 164
20:25:56.730746 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62828:62992, ack 1, win 313, length 164
20:25:56.730820 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62992:63156, ack 1, win 313, length 164
20:25:56.730893 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63156:63320, ack 1, win 313, length 164
20:25:56.730971 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63320:63484, ack 1, win 313, length 164
20:25:56.731078 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63484:63648, ack 1, win 313, length 164
20:25:56.731213 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63648:63812, ack 1, win 313, length 164
20:25:56.731316 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63812:63976, ack 1, win 313, length 164
20:25:56.731401 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63976:64140, ack 1, win 313, length 164
20:25:56.731476 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64140:64304, ack 1, win 313, length 164
20:25:56.731578 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64304:64468, ack 1, win 313, length 164
20:25:56.731673 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64468:64632, ack 1, win 313, length 164
20:25:56.731760 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64632:64796, ack 1, win 313, length 164
20:25:56.731847 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64796:64960, ack 1, win 313, length 164
20:25:56.731952 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64960:65124, ack 1, win 313, length 164
20:25:56.732094 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65124:65288, ack 1, win 313, length 164
20:25:56.732219 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65288:65452, ack 1, win 313, length 164
20:25:56.732332 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65452:65616, ack 1, win 313, length 164
20:25:56.732421 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65616:65780, ack 1, win 313, length 164
20:25:56.732499 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65780:65944, ack 1, win 313, length 164
20:25:56.732614 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65944:66108, ack 1, win 313, length 164
20:25:56.732744 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66108:66272, ack 1, win 313, length 164
20:25:56.732858 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66272:66436, ack 1, win 313, length 164
20:25:56.732948 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66436:66600, ack 1, win 313, length 164
20:25:56.733029 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66600:66764, ack 1, win 313, length 164
20:25:56.733200 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66764:66928, ack 1, win 313, length 164
20:25:56.733331 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66928:67092, ack 1, win 313, length 164
20:25:56.733416 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67092:67256, ack 1, win 313, length 164
20:25:56.733524 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67256:67420, ack 1, win 313, length 164
20:25:56.733656 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67420:67584, ack 1, win 313, length 164
20:25:56.733744 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67584:67748, ack 1, win 313, length 164
20:25:56.733821 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67748:67912, ack 1, win 313, length 164
20:25:56.733897 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67912:68076, ack 1, win 313, length 164
20:25:56.733973 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68076:68240, ack 1, win 313, length 164
20:25:56.734060 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68240:68404, ack 1, win 313, length 164
20:25:56.734202 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68404:68568, ack 1, win 313, length 164
20:25:56.734392 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68568:68732, ack 1, win 313, length 164
20:25:56.734517 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68732:68896, ack 1, win 313, length 164
20:25:56.734612 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 68896:69060, ack 1, win 313, length 164
20:25:56.734715 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69060:69224, ack 1, win 313, length 164
20:25:56.734797 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69224:69388, ack 1, win 313, length 164
20:25:56.734898 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69388:69552, ack 1, win 313, length 164
20:25:56.735039 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69552:69716, ack 1, win 313, length 164
20:25:56.735199 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69716:69880, ack 1, win 313, length 164
20:25:56.735287 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 69880:70044, ack 1, win 313, length 164
20:25:56.735368 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 70044:70208, ack 1, win 313, length 164
20:25:56.735445 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 70208:70372, ack 1, win 313, length 164
20:25:56.740127 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 40240, win 2051, length 0
20:25:56.740213 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 70372:70536, ack 1, win 313, length 164
20:25:56.740413 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 43848, win 2051, length 0
20:25:56.740577 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 70536:70924, ack 1, win 313, length 388
20:25:56.740698 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 70924:71088, ack 1, win 313, length 164
20:25:56.740794 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 71088:71252, ack 1, win 313, length 164
20:25:56.740892 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 71252:71416, ack 1, win 313, length 164
20:25:56.741064 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 71416:71580, ack 1, win 313, length 164
20:25:56.741198 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 49096, win 2051, length 0
20:25:56.741324 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 71580:71856, ack 1, win 313, length 276
20:25:56.741486 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 71856:72020, ack 1, win 313, length 164
20:25:56.741623 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72020:72184, ack 1, win 313, length 164
20:25:56.741672 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 52540, win 2051, length 0
20:25:56.741794 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72184:72460, ack 1, win 313, length 276
20:25:56.741907 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72460:72624, ack 1, win 313, length 164
20:25:56.742065 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72624:72788, ack 1, win 313, length 164
20:25:56.742180 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72788:72952, ack 1, win 313, length 164
20:25:56.742321 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 72952:73116, ack 1, win 313, length 164
20:25:56.742478 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73116:73280, ack 1, win 313, length 164
20:25:56.742593 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73280:73444, ack 1, win 313, length 164
20:25:56.742683 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73444:73608, ack 1, win 313, length 164
20:25:56.742804 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73608:73772, ack 1, win 313, length 164
20:25:56.742914 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73772:73936, ack 1, win 313, length 164
20:25:56.743083 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 73936:74100, ack 1, win 313, length 164
20:25:56.743185 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74100:74264, ack 1, win 313, length 164
20:25:56.743273 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74264:74428, ack 1, win 313, length 164
20:25:56.743397 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74428:74592, ack 1, win 313, length 164
20:25:56.743523 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74592:74756, ack 1, win 313, length 164
20:25:56.743618 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74756:74920, ack 1, win 313, length 164
20:25:56.743763 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 74920:75084, ack 1, win 313, length 164
20:25:56.743911 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75084:75248, ack 1, win 313, length 164
20:25:56.744065 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75248:75412, ack 1, win 313, length 164
20:25:56.744213 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75412:75576, ack 1, win 313, length 164
20:25:56.744395 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75576:75740, ack 1, win 313, length 164
20:25:56.744562 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75740:75904, ack 1, win 313, length 164
20:25:56.744727 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 75904:76068, ack 1, win 313, length 164
20:25:56.744895 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 76068:76232, ack 1, win 313, length 164
20:25:56.745103 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 76232:76396, ack 1, win 313, length 164
20:25:56.745257 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 55932, win 2051, length 0
20:25:56.745447 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 76396:76672, ack 1, win 313, length 276
20:25:56.745572 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 76672:76836, ack 1, win 313, length 164
20:25:56.745673 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 76836:77000, ack 1, win 313, length 164
20:25:56.745777 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77000:77164, ack 1, win 313, length 164
20:25:56.745881 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77164:77328, ack 1, win 313, length 164
20:25:56.746031 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77328:77492, ack 1, win 313, length 164
20:25:56.746185 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77492:77656, ack 1, win 313, length 164
20:25:56.746395 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77656:77820, ack 1, win 313, length 164
20:25:56.746541 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77820:77984, ack 1, win 313, length 164
20:25:56.746701 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 77984:78148, ack 1, win 313, length 164
20:25:56.746849 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78148:78312, ack 1, win 313, length 164
20:25:56.747011 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78312:78476, ack 1, win 313, length 164
20:25:56.747158 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78476:78640, ack 1, win 313, length 164
20:25:56.747318 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78640:78804, ack 1, win 313, length 164
20:25:56.747462 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78804:78968, ack 1, win 313, length 164
20:25:56.747619 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 78968:79132, ack 1, win 313, length 164
20:25:56.747774 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 79132:79296, ack 1, win 313, length 164
20:25:56.747934 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 79296:79460, ack 1, win 313, length 164
20:25:56.748092 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 79460:79624, ack 1, win 313, length 164
20:25:56.748170 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 58832, win 2051, length 0
20:25:56.748367 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 79624:79900, ack 1, win 313, length 276
20:25:56.748530 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 79900:80064, ack 1, win 313, length 164
20:25:56.748684 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80064:80228, ack 1, win 313, length 164
20:25:56.748828 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80228:80392, ack 1, win 313, length 164
20:25:56.748973 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80392:80556, ack 1, win 313, length 164
20:25:56.749116 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80556:80720, ack 1, win 313, length 164
20:25:56.749228 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80720:80884, ack 1, win 313, length 164
20:25:56.749333 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 80884:81048, ack 1, win 313, length 164
20:25:56.749446 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81048:81212, ack 1, win 313, length 164
20:25:56.749590 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81212:81376, ack 1, win 313, length 164
20:25:56.749721 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81376:81540, ack 1, win 313, length 164
20:25:56.749841 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81540:81704, ack 1, win 313, length 164
20:25:56.749976 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81704:81868, ack 1, win 313, length 164
20:25:56.750145 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 81868:82032, ack 1, win 313, length 164
20:25:56.750325 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82032:82196, ack 1, win 313, length 164
20:25:56.750448 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82196:82360, ack 1, win 313, length 164
20:25:56.750595 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82360:82524, ack 1, win 313, length 164
20:25:56.750750 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82524:82688, ack 1, win 313, length 164
20:25:56.750866 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82688:82852, ack 1, win 313, length 164
20:25:56.750980 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 82852:83016, ack 1, win 313, length 164
20:25:56.751134 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83016:83180, ack 1, win 313, length 164
20:25:56.751237 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83180:83344, ack 1, win 313, length 164
20:25:56.751364 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83344:83508, ack 1, win 313, length 164
20:25:56.751497 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83508:83672, ack 1, win 313, length 164
20:25:56.751605 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83672:83836, ack 1, win 313, length 164
20:25:56.751738 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 83836:84000, ack 1, win 313, length 164
20:25:56.751851 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84000:84164, ack 1, win 313, length 164
20:25:56.751988 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84164:84328, ack 1, win 313, length 164
20:25:56.752112 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84328:84492, ack 1, win 313, length 164
20:25:56.752248 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84492:84656, ack 1, win 313, length 164
20:25:56.752358 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84656:84820, ack 1, win 313, length 164
20:25:56.752488 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84820:84984, ack 1, win 313, length 164
20:25:56.752602 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 84984:85148, ack 1, win 313, length 164
20:25:56.752707 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85148:85312, ack 1, win 313, length 164
20:25:56.752844 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85312:85476, ack 1, win 313, length 164
20:25:56.752932 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85476:85640, ack 1, win 313, length 164
20:25:56.753010 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85640:85804, ack 1, win 313, length 164
20:25:56.753134 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85804:85968, ack 1, win 313, length 164
20:25:56.753190 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 63976, win 2051, length 0
20:25:56.753356 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 85968:86244, ack 1, win 313, length 276
