root@lamp-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:39:16.891217 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 3983993215:3983993323, ack 643419406, win 313, length 108
20:39:17.007696 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57620:57784, ack 1, win 313, length 164
20:39:17.007773 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57784:57948, ack 1, win 313, length 164
20:39:17.007847 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 57948:58112, ack 1, win 313, length 164
20:39:17.007926 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58112:58276, ack 1, win 313, length 164
20:39:17.007999 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58276:58440, ack 1, win 313, length 164
20:39:17.008077 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58440:58604, ack 1, win 313, length 164
20:39:17.008153 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58604:58768, ack 1, win 313, length 164
20:39:17.008235 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58768:58932, ack 1, win 313, length 164
20:39:17.008314 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 58932:59096, ack 1, win 313, length 164
20:39:17.008394 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59096:59260, ack 1, win 313, length 164
20:39:17.008508 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59260:59424, ack 1, win 313, length 164
20:39:17.011821 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 43448, win 2051, length 0
20:39:17.011884 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59424:59588, ack 1, win 313, length 164
20:39:17.012056 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59588:59864, ack 1, win 313, length 276
20:39:17.012107 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 45908, win 2051, length 0
20:39:17.012224 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 59864:60140, ack 1, win 313, length 276
20:39:17.012393 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60140:60304, ack 1, win 313, length 164
20:39:17.012505 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60304:60468, ack 1, win 313, length 164
20:39:17.012584 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60468:60632, ack 1, win 313, length 164
20:39:17.012657 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60632:60796, ack 1, win 313, length 164
20:39:17.012777 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60796:60960, ack 1, win 313, length 164
20:39:17.012909 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 60960:61124, ack 1, win 313, length 164
20:39:17.013042 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61124:61288, ack 1, win 313, length 164
20:39:17.013158 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61288:61452, ack 1, win 313, length 164
20:39:17.013333 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61452:61616, ack 1, win 313, length 164
20:39:17.013467 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61616:61780, ack 1, win 313, length 164
20:39:17.013553 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61780:61944, ack 1, win 313, length 164
20:39:17.013632 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 61944:62108, ack 1, win 313, length 164
20:39:17.013709 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62108:62272, ack 1, win 313, length 164
20:39:17.013780 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62272:62436, ack 1, win 313, length 164
20:39:17.013851 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62436:62600, ack 1, win 313, length 164
20:39:17.013922 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62600:62764, ack 1, win 313, length 164
20:39:17.013994 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62764:62928, ack 1, win 313, length 164
20:39:17.014066 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 62928:63092, ack 1, win 313, length 164
20:39:17.014141 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63092:63256, ack 1, win 313, length 164
20:39:17.014275 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63256:63420, ack 1, win 313, length 164
20:39:17.014402 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63420:63584, ack 1, win 313, length 164
20:39:17.014487 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63584:63748, ack 1, win 313, length 164
20:39:17.014560 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63748:63912, ack 1, win 313, length 164
20:39:17.014633 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 63912:64076, ack 1, win 313, length 164
20:39:17.014705 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64076:64240, ack 1, win 313, length 164
20:39:17.014784 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64240:64404, ack 1, win 313, length 164
20:39:17.014860 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64404:64568, ack 1, win 313, length 164
20:39:17.014932 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64568:64732, ack 1, win 313, length 164
20:39:17.015004 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64732:64896, ack 1, win 313, length 164
20:39:17.015076 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 64896:65060, ack 1, win 313, length 164
20:39:17.015148 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65060:65224, ack 1, win 313, length 164
20:39:17.015221 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65224:65388, ack 1, win 313, length 164
20:39:17.015301 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65388:65552, ack 1, win 313, length 164
20:39:17.015367 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65552:65716, ack 1, win 313, length 164
20:39:17.015440 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65716:65880, ack 1, win 313, length 164
20:39:17.015515 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 65880:66044, ack 1, win 313, length 164
20:39:17.015587 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66044:66208, ack 1, win 313, length 164
20:39:17.015658 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66208:66372, ack 1, win 313, length 164
20:39:17.015730 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66372:66536, ack 1, win 313, length 164
20:39:17.015802 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66536:66700, ack 1, win 313, length 164
20:39:17.015881 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66700:66864, ack 1, win 313, length 164
20:39:17.016003 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 66864:67028, ack 1, win 313, length 164
20:39:17.016120 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67028:67192, ack 1, win 313, length 164
20:39:17.016201 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67192:67356, ack 1, win 313, length 164
20:39:17.016306 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67356:67520, ack 1, win 313, length 164
20:39:17.016418 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67520:67684, ack 1, win 313, length 164
20:39:17.020857 IP 198.96.85.163.26087 > lamp-s-1vcpu-1gb-nyc1-01.ssh: Flags [P.], seq 1:37, ack 46072, win 2050, length 36
20:39:17.020908 IP lamp-s-1vcpu-1gb-nyc1-01.ssh > 198.96.85.163.26087: Flags [P.], seq 67684:67848, ack 37, win 313, length 164
^C
413 packets captured
419 packets received by filter
6 packets dropped by kernel
